id,name,city,website
"8f61b6fd-6800-49c0-989a-c322ed5e67f0","BMC - Biomedical Centre","Lund","https://www.medicin.lu.se/kontakt/biomedicinskt-centrum"
"03b923c7-8dd3-4eb0-8c6a-18067eb4d8f8","Cosmian Beauty Clinic. Skin and Beauty clinic","Stockholm","https://laserharborttagning.com/stockholm/stockholm/cosmian-beauty-clinic-skin-and-beauty-clinic-stockholm/"
"51a8dd92-5ee5-4629-b9ac-67c0314d6018","Shima hudvårdsklinik","Uppsala","http://shimahudvard.se/"
"60ce665e-99a3-414a-be8e-a2e1c6155138","Prp Uppsala","Uppsala","https://uppsalaprp.se/"
"a013a28f-61bd-49c9-a366-9c58ed92d0fc","Lifetime Clinic Uppsala","Uppsala","http://www.lifetimeclinic.se/"
"152160e2-ffb0-44ac-834e-d55bf137c70b","Carovivakliniken","Uppsala","https://caroviva.se/"
"824742ae-3f1d-42bd-9763-5ae5e666a256","Laser Clinic Center","Uppsala","http://www.laserklinikcenter.se/"
"b746ebfd-7e78-4e55-8ec7-a7408d97c422","Studio Calma AB - Ansiktsbehandling Uppsala","Uppsala","http://studiocalma.se/"
"534a7864-026e-4b46-882d-110fcdc24c16","Sukran's Clinic","Uppsala","http://www.sukransclinic.se/"
"d2f707fe-9bf9-4edf-9fba-f90c62de09c4","Forma Vita - Södermalm","Stockholm","https://www.formavita.se/"
"77f3c9a4-3778-4781-9e7f-8b52b5b15d07","Svettkliniken","Stockholm","https://svettkliniken.se/"
"1ad0069c-50e1-47b7-8499-d68c68c6f42c","Hudcoachen Uppsala","Uppsala",""
"70c60b08-97df-4c51-b6da-934778704273","Clinica Laser&Estetik AB","Uppsala","https://clinicalaser.se/?utm_source=google&utm_medium=maps"
"6c95d7cd-d7c0-4de9-8f77-00e4671ebb9f","Art Clinic AB","Uppsala","https://www.aleris.se/mottagningar/uppsala/plastikkirurgi/"
"0c43ef75-9a95-4432-9665-28c87f696b4a","Clinic Lihong","Uppsala","http://www.lihong.se/"
"0beea03e-2786-450c-80b3-b82cbc7f7804","Marguerite Hudvård","Uppsala","http://www.margueritehudvaard.se/"
"a27b49c5-be4a-4e97-9c5b-b5de1e2815f9","Zylinakliniken Göteborg","Göteborg","https://www.zylinakliniken.com/"
"7d434729-a292-429a-abb2-662d2570b20c","Uppsala Hud & Kroppsvård","Uppsala","http://www.uppsalahudvard.se/"
"1e6c7915-8948-415c-9008-7de3be9fe47d","MyBeauty Clinic MOOD Stockholm","Stockholm","https://www.mybeautyclinic.se/"
"37b00cab-b32b-47ac-83ec-8975194d8306","Uppsala Care And Beauty","Uppsala","http://careandbeauty.se/"
"a74f2c98-d05e-4a31-86f4-ffb9d85322f2","Veritaskliniken","Stockholm","http://veritaskliniken.se/"
"7cfbbf33-61cd-4245-be0b-3f34e04790fd","Basic Beauty","Lund","https://basicbeauty.se/"
"a0d00898-ce1f-4976-81b9-9230176b3702","Estetic Walk-in","Lund","http://www.estetic.se/lund"
"a14ca133-d773-405f-a813-3a57f3491de8","Modern Beauty Clinic Lund AB","Lund","http://www.modernbeauty.nu/"
"c50de485-ec15-4ee1-82c6-949c0f4af773","Beauty and Balance","Lund","http://www.beautyandbalance.se/"
"e25e8f34-a714-4f74-95e1-e93390e7ba38","Leilas Klinik - Laserklinik Kungsgatan","Stockholm","http://leilas.se/"
"e5dcd8cf-527b-46ef-af61-ccc8bc5a8815","Beauty Clinic by CJ","Stockholm","https://linktr.ee/beautyclinicbycj"
"3348ca5b-334e-4fcb-8fe5-f9b3cf299fad","DoctorFilip Stockholm","Stockholm","https://doctorfilip.se/"
"402f2268-1c77-4b2b-96c5-6a1c7ddb3bce","Derma Beauty Clinic","Stockholm","https://dermabeautyclinic.se/"
"d677e249-df9c-480c-9978-707910df4162","SkinCare Uppsala","Uppsala","https://skincareuppsala.se/"
"04b826ad-5b9e-492c-9a0f-cfed06c5159a","Hudvård & Massage i Lund - Elli's Wellness AB","Lund","http://www.ellis.se/"
"501d940f-5327-4641-b66c-2cd01dca8259","IKLINIK LUND","Lund","http://www.iklinik.se/"
"300823f1-4b60-4636-9503-5a84894e8657","Artroscenter Skåne","Lund","http://artroscenter.se/"
"42d58f05-b1b6-4283-8f43-d791b04b75ae","Clinic N.VY","Stockholm","http://clinicnvy.se/"
"cf336c8d-2f4b-4659-a1fd-00ea4826d76f","SwedEsthetic - Klinik: Fillers, Botox, Trådlyft i Stockholm","Kista","https://www.swedesthetic.se/"
"da9ca6f5-f41e-4b41-82a7-aef6f2cc2234","Aesthetic Studio","Stockholm","http://www.aestheticstudio.se/"
"449bdb98-cfc5-49e7-9f33-5ec4b4af2c16","Derma Clinic Stockholm","Älvsjö","http://dermaclinicstockholm.se/"
"323bf836-afd7-427f-a2a3-286a365bb671","Bendito Clinic","Hägersten","https://www.benditoclinic.se/"
"b0de0084-eb48-4669-be31-e2755d76e9d6","Göta Hudklinik","Göteborg","http://www.gotahudklinik.se/"
"74e0f7ce-172b-408c-acc1-8547e9ec5900","Nordic Skin Klinik Jakobsberg","Järfälla","https://www.nordicskinklinik.se/"
"560ca6b8-fb1b-4fce-a265-d1a91c078e19","Amnionkliniken","Lund","http://www.amnionkliniken.se/"
"a002f1c0-9fef-4f4f-b128-a0e1d9092fde","Lenhud","Lund","http://www.lenhud.se/"
"c4859ed2-ab54-4fca-9f35-1cfc69377a03","Estetik by Petra","Lund","https://estetikbypetra.se/"
"b86ca3cb-7144-4155-82d0-36c0899281fd","Make Up Store","Lund","https://makeupcenterlund.myshopify.com/"
"e139b3f4-1066-4263-8f57-4d4a804a790e","Dr.Dropin Hudcentrum Lundagård","Lund","https://drdropin.se/"
"ecf560eb-985c-441c-9005-2739fed3efe1","Rygg & Idrottskliniken","Lund","http://www.ryggochidrottskliniken.se/naprapater-i-lund/fredrikjensen.html"
"6eefe54d-245e-4a97-b8af-07c54dbacd20","CorLab - Hälsoundersökningar och Läkarintyg","Lund","https://www.corlab.se/"
"af5dc2e6-d527-46f5-af8c-069213b2525f","Hudateljén I Lund","Lund","https://www.hudateljenilund.se/"
"606f7b99-6354-4975-aa96-6cdd717f098c","Skåne Care AB","Lund","http://skanecare.com/"
"47b21b98-6796-4055-95cd-01a060e8ce1f","DOCTOR_K","Stockholm","https://doctork.se/"
"148974ab-3b37-48fe-8ec1-011a3a227fc1","Opera Clinic","Stockholm","http://www.operakliniken.se/"
"4391504d-93b0-4904-b5e4-cd48927718f1","OsLo Aesthetics Lund","Lund","https://osloaesthetics.se/"
"1f4d30d8-a1b4-4795-b7c4-1dce698af829","Lunds IVF Center","Lund","https://www.lundsivfcenter.se/"
"e8515d53-972b-4155-8c57-7bd3f4296bc3","Marie's Skin Care","Lund","http://www.marieshudvard.se/"
"66cfee15-90ca-482a-a77e-0157718c71be","Balans & Harmoni","Lund","http://www.balansoharmoni.se/"
"bfb90113-6d2c-4938-a08c-9a82cc409a9b","Lux Treatments","Linköping","http://www.luxtreatments.se/"
"bf31388f-bec5-4e25-8905-1ebef13ffc3b","Bauer Clinic Linköping","Linköping","http://www.bauerclinic.se/"
"f1bff234-e3db-447c-a733-a15fbbdd2c90","Laserklinikcenter","Stockholm","https://www.laserklinikcenter-st.se/"
"7552743d-b2e1-447c-bb0a-9a7678c66d82","Cloud Nine Clinic","Stockholm","https://cloudnineclinic.se/"
"b4bcf23d-20c1-450a-9d57-4e55e7aaa5da","DERMYS Hudklinik och Estetik","Lund","https://www.hudlakarelund.se/"
"777191c6-ab60-4a7d-a086-1d9aa6e55a13","Beauty by Fairouz","Linköping","https://www.skonhet-linkoping.se/"
"62ae8bde-1927-44ac-98ae-1d0649fa01e3","Atlaskliniken","Linköping","http://www.atlaskliniken.se/"
"fad198cd-3e4d-4077-89b4-8128479e36c4","Good Life Aura AB","Lund","https://goodlifeaura.se/"
"294305fc-2dbf-496c-a9c3-748893fc0e4c","JL Medical - Botox, Fillers & Plastikkirurgi","Linköping","https://www.jlmedical.se/"
"77982627-7aef-402d-b564-26ead1230521","Linköping Laserklinik - Laser, Onda, Vivace Linköping","Linköping","http://www.linkopingskliniken.se/"
"64de5b05-112b-4eb1-bdfa-966e1e894b24","Dermani Clinic Linköping","Linköping","https://www.dermani.se/"
"28cc5338-9620-49d2-90a5-0fa5ac00faeb","Clinica Sverige","Göteborg","https://clinica.se/"
"7f4638a7-84be-4432-99af-805bc0260d05","LC Skönhet & Laser Klinik","Linköping","https://www.skonhet-linkoping.se/"
"b1ae98e3-f69c-470d-862d-7ab99930278d","Faceboost Klinik Botox|Fillers|Laser","Linköping","http://www.faceboost.se/"
"830ac156-07f4-4109-bfb0-56a4e3832255","Plastikakademin","Linköping","http://www.plastikakademin.se/"
"0f347389-4e0d-4737-a49a-9b8de2d29c4d","Mira Health & Laser Clinic","Linköping","http://www.miraclinic.se/"
"15702fcb-061c-4269-83b0-dc6c4fbb88ee","Laser & Hudvårdskliniken","Linköping","https://www.laserohudvardskliniken.se/"
"4c264905-9a64-4066-8c6b-fd706068691a","Ink&Beauty","Linköping","http://www.inkbeauty.se/"
"2bef9cfb-5dce-4d7d-bbd0-ec6815f89112","Astera Laser Clinic","Linköping","https://laserharborttagning.com/ostergotland/linkoping/astera-laser-clinic-linkoping/"
"c1f47383-55aa-4059-a797-58adddd8e75d","Salong Perfect You","Linköping",""
"867c939a-0f59-449c-a1db-1514fe0e0b27","Viso Clinic","Örebro","http://www.visoclinic.se/"
"ac95a311-d78b-43e8-9572-9c6190524fea","Diagnostiskt Centrum Hud Linköping","Linköping","https://diagnostisktcentrumhud.se/vara-kliniker/linkoping/"
"14f344be-4b4c-4120-9b7c-82948ed19a2f","Beauty Sky AB","Linköping","https://swenavi.org/details/beauty-sky-ab-ChIJcRz"
"7e217b8f-77d7-41ee-85e4-ab8245e713f3","Fokus Klinik","Örebro","https://fokusklinik.se/"
"16857666-ea3f-47b9-a647-a778d3eb63a3","Clinic Scandinavia","Örebro","https://www.clinicscandinavia.se/"
"40f698da-4a72-4d3e-9bbe-a08d452c927b","Synos ​​Medical AB","Linköping","http://www.synos.se/"
"49b76917-b8c1-481d-bf47-f2aa103ba1a3","RelyOn Beauty Clinic","Örebro","http://relyonclinic.se/"
"bece986f-61e3-427d-be42-62436e903af8","Lounes skönhetssalong - Fillers, botox, injektioner & medicinskt hudvård","Stockholm","http://www.lounes.se/"
"e4e40247-0669-4ec6-ac9a-165b278c5288","Hudfix","Örebro","https://www.hudfix.se/"
"ee5847c2-19df-4079-9741-417b2f617e32","Lanas Beauty/ LB Brows & Fillers AB","Linköping","http://www.lanasbeauty.se/"
"d8750844-8610-4eb1-a2eb-5c9a059e761f","Plastikguiden Johan Thorfinn","Linköping","http://www.plastikguiden.se/"
"e645a4b2-a9a6-42bf-be82-312c3549fe99","Nuova Care & PMU","Örebro","http://www.permanentmakeups.se/"
"dc4180bb-3c56-400a-b59b-4be6ffe9f0c9","Clinic Perfekta","Örebro","http://www.clinicperfekta.se/"
"42335fdd-863b-4c05-9e9c-94c87f40c787","Örebro Estetik","Örebro","https://orebroestetik.se/"
"f247ca65-654a-429f-9860-236e54fe1b84","Örebrokliniken","Örebro","http://www.orebrokliniken.com/"
"be8be297-da06-40b0-9ac3-dccacb91991a","MG Beauty Clinic","Örebro","https://mgbeautyclinic.eu/"
"3fc35f2b-1094-42ce-b1d3-53eabc64ed53","CLINICA Dr A Näsplastik Hårtransplantation","Örebro","http://www.clinicadoctora.se/"
"59baeaa3-5d87-4259-9c24-5bffd811d67a","The Skin","Örebro","http://theskin.se/"
"34e30fc5-42b3-429e-a21b-65cab1a585bd","SkönhetsCompaniet","Örebro","http://www.skönhetscompaniet.se/"
"fa91c80a-7be7-45ff-9a78-0d3e5fb498f7","Active Care Sweden","Stockholm","https://www.activecaresweden.se/"
"b269fe7c-0ab0-4314-8c4c-e00c391fb516","Vanish Laser","Malmö","https://laservanish.se/"
"7729d01d-2006-44c1-a4ad-962f4c3d9222","Örebro Laser Center","Örebro","https://orebrolasercenter.se/"
"7ae18b00-3e16-4b75-a86f-4a63580687c0","Agdeliuskliniken","Örebro","https://agdeliuskliniken.se/"
"2f702606-059d-4bd3-b49d-6ea5d45e2df6","LymfLina","Örebro","http://www.lymflina.se/"
"609a30e6-0db7-4d2c-bc69-c25f31e36107","Nordic Beauty Artist","Örebro","https://laserharborttagning.com/orebro/orebro/klinik-fredsgatan-laser-harborttagning-i-orebro-permanent-resultat-smartfri/"
"bea4e480-8178-4e2c-911e-69b888598f7a","Bare Solutions Clinic","Örebro","https://www.baresolutions.se/"
"ece9c4e2-db5e-4103-be83-4afa652ed3fc","Maria Beauty Clinic AB","Örebro","https://www.mariabeautyclinic.se/"
"c58e35bd-f4d2-4723-adf3-9b5e4fb04a16","Roleen Beauty Center","Örebro","https://laserharborttagning.com/orebro/orebro/roleen-beauty-center-laser-harborttagning-i-orebro-permanent-resultat-smartfri"
"a36e8f8e-416f-49df-b23e-f57417455ea7","Luxe Estetisk Klinik","Göteborg","http://www.luxeestetiskklinik.se/"
"6f0f5ca3-857a-455e-affb-1ce8ce5143ed","Stockholm Estetik & Hälsa AB","Nacka","http://www.estetikochhalsa.se/"
"ddd70adb-254f-4a71-966a-2cf4de5fe58a","Beauty Elite","Sundbyberg","http://beautyelite.se/"
"f8415916-09e5-49d5-ab67-a127a68f709b","BeautyFillers Stockholm - Fillers Stockholm","Stockholm","https://beautyfillersstockholm.se/"
"ad33b01e-0d60-4f2c-aa66-8f904de2fc26","Derma Aesthetics Clinic","Stockholm","http://daclinic.se/"
"57dbe6fe-27a1-41fc-b42c-23d78b7e1517","Sthlm Aesthetics -Emface -Emsculpt Neo -Emsella -Icoone Laser Med -LaseMD","Stockholm","http://www.sthlmaesthetics.se/"
"23b5f34a-bf2d-4fcd-99f1-516a6b99a696","Âme Studio","Örebro","http://www.amestudio.se/"
